Mfcc0;Mfcc1;Mfcc2;Mfcc3;Mfcc4;Mfcc5;Mfcc6;Mfcc7;Mfcc8;Mfcc9;Mfcc10;Mfcc11;Mfcc12;Mfcc13;Mfcc14;Mfcc15;Mfcc16;Mfcc17;Mfcc18;Mfcc19;Mfcc20;Mfcc21;Mfcc22;Mfcc23;Mfcc24;Mfcc25;Mfcc26;Mfcc27;Mfcc28;Mfcc29;Mfcc30;Mfcc31;Mfcc32;Mfcc33;Mfcc34;Mfcc35;Mfcc36;Mfcc37;Mfcc38;Mfcc39;Mfcc40;Mfcc41;Mfcc42;Mfcc43;Mfcc44;Mfcc45;Mfcc46;Mfcc47;Mfcc48;Mfcc49;Mfcc50;Mfcc51;Mfcc52;Mfcc53;Mfcc54;Mfcc55;Mfcc56;Mfcc57;Mfcc58;Mfcc59;Mfcc60;Mfcc61;Mfcc62;Mfcc63;Mfcc64;Mfcc65;Mfcc66;Mfcc67;Mfcc68;Mfcc69;frame_energy;frame_zcr;frame_pitch;emotion;wav_files
26.5677;24.6639;25.3035;28.7332;28.4631;29.5982;28.7606;33.2152;30.8114;29.5231;15.7719;15.6645;18.3379;16.6998;15.7667;18.6871;17.0861;18.3106;24.1056;21.387;16.3786;10.9405;6.99191;8.29615;16.1504;14.2636;11.9509;7.83482;4.5061;11.0537;9.86889;10.6866;13.6414;15.7999;18.4456;19.3949;19.7911;18.7294;19.1153;15.4336;17.3871;14.0355;16.4041;16.2132;18.6159;20.7323;14.6045;10.4689;16.3335;15.1589;16.0945;14.0533;17.6495;21.7525;20.0679;18.4168;11.7188;11.1547;10.8674;8.33125;12.9538;12.8976;10.4518;11.3462;10.0589;12.2412;14.3121;10.0348;12.6725;11.4741;2107.35961914;0.036664981395;32.7564048767;T;14b09Td.wav
15.0522;14.1045;12.0494;8.66087;8.0695;0.465104;4.1979;14.7876;15.312;12.5101;12.4686;7.33865;1.70923;-4.37366;-0.555812;-0.902632;-1.39288;2.2638;4.8769;11.1876;12.1875;2.25114;0.0711489;-3.27376;2.62571;6.9558;8.7323;3.97786;5.51321;4.90714;-2.36332;-4.08721;-2.04791;-7.02424;-8.09465;-6.91861;-8.76919;-5.92858;6.3134;6.96725;6.75334;-2.31774;-3.55098;0.430973;-1.11435;-1.47441;-7.27274;-7.39122;-4.60169;-2.72512;-8.00388;-3.82537;1.73703;2.22516;-2.71242;-0.667768;3.1271;6.0444;13.1301;19.8667;15.0963;11.5097;5.68104;3.34706;10.3178;0.809033;-11.1582;-15.8042;-13.0371;-11.6437;1852.99804688;0.056792780757;274.072418213;W;08b02Wd.wav
3.24329;13.3978;14.4436;11.2668;17.875;16.5327;13.9215;16.4286;23.4087;12.222;6.21096;6.32108;8.67339;2.39723;-0.0704648;-2.57094;5.31516;6.19278;3.12307;0.149846;5.02093;-0.910245;-0.188602;-4.19279;-5.06473;-6.30622;-3.37453;-3.63336;-6.44091;-7.61859;-1.93508;-7.95504;-14.5068;-19.3594;-22.0839;-20.4971;-20.516;-15.1556;-4.96182;-3.50529;-0.111658;-0.427125;-0.345812;-1.56641;-2.12968;1.43782;-1.88524;-3.21728;-5.23156;-9.45133;-16.7465;-12.6312;-9.88568;-11.3032;-13.7941;2.92219;7.86122;7.4982;4.91642;3.68462;7.59571;8.04093;5.0775;10.9417;11.1066;2.80191;-4.19574;-9.91516;-14.6748;-14.2681;1868.11303711;0.0513649769127;235.944335938;W;09b09Wa.wav
29.165;29.6782;29.7462;24.5803;24.3515;27.5788;27.7462;29.3627;17.474;20.4649;16.5401;15.0113;23.433;22.4407;25.0341;21.8587;21.3305;23.2394;21.2635;19.9788;16.5837;11.8482;12.0368;12.9485;13.0541;13.1178;8.31258;11.1676;12.2218;15.0034;8.80629;10.6503;8.90781;1.05432;12.7911;14.8313;10.9429;13.1339;11.4929;11.0184;17.6288;14.3948;13.0174;10.191;14.0783;14.9325;18.1034;15.9387;16.6105;12.8283;14.3594;19.0122;20.4263;23.9627;21.721;24.1648;17.1834;19.8098;19.406;21.12;17.8127;20.0369;19.6873;15.7135;21.2511;21.1943;18.7529;20.6402;18.1486;19.1532;3358.7434082;0.0309569388628;107.749420166;T;12b09Td.wav
22.145;25.1005;19.3641;27.9982;28.0299;27.5156;30.1007;15.2291;13.7169;9.77408;13.659;19.1481;17.4194;13.4649;7.66272;12.6991;10.7732;8.68785;12.3478;10.916;12.8887;14.9798;14.1673;16.1084;16.3218;13.5987;11.6296;8.84781;9.97491;3.06624;3.7315;-0.620735;4.33012;6.5848;10.9663;10.0145;14.282;19.807;16.703;17.396;11.7378;2.76865;10.5671;16.7759;13.8046;15.7306;16.5552;9.4984;9.9953;6.56422;9.43067;17.726;13.0507;10.1167;11.3473;13.5177;11.2685;14.1544;13.6735;14.9181;17.1303;15.6047;16.3507;16.6864;20.2047;24.1067;12.678;14.062;16.3241;15.7398;3480.91235352;0.0378831513226;236.38911438;A;13b03Ac.wav
9.88977;11.1347;12.5538;10.167;8.44986;7.68715;22.58;21.3495;21.4122;16.1167;9.71814;5.0748;-2.21882;-9.53278;-16.3342;-14.3973;-11.2716;-6.27489;1.36046;2.01238;0.656075;-5.94524;-4.45923;-3.22743;-11.5151;-5.81231;-3.19061;9.05278;13.5191;14.0874;11.0191;8.47671;2.42121;-4.35997;-8.60465;-12.4987;-9.41508;-8.98395;-13.7111;-13.3012;-18.3009;-13.0689;-16.2454;-3.61862;6.7106;7.42158;3.1772;2.74241;-1.34036;-6.54724;-1.84155;-5.88737;-14.804;-17.2446;-16.3015;-5.86917;9.50815;13.7442;16.6308;17.7189;12.6795;3.7172;-4.22974;-6.23301;-12.6599;-10.0783;-11.0965;-11.6377;-9.67088;-4.62117;2092.34960938;0.0674044713378;245.218597412;W;12a05Wb.wav
19.1994;21.3659;22.8658;14.4811;21.6335;17.976;10.2603;11.6229;7.50069;-0.00746902;-3.66132;-5.9542;-6.92231;-10.4803;-8.74794;-15.5596;-12.0099;-9.41295;-16.5493;-8.82864;-11.4609;-9.7878;-13.0594;-3.51996;-2.81179;-0.730475;-2.98121;3.61833;1.98617;5.7587;0.932368;3.15192;-2.97366;5.30131;4.5576;-2.20955;-4.96191;-3.33;-6.86557;-11.3939;-7.89349;-2.06199;-15.0334;-8.26001;-4.10936;-7.82894;-12.1969;-7.138;-8.7074;-6.9302;-7.68198;-8.01048;-6.65563;-7.0814;-8.31449;-11.3207;-6.34738;-6.60813;-8.13389;-5.99707;-10.8824;-7.27826;-0.0437937;-1.52904;-4.42975;-7.27067;-3.38982;-1.95198;-2.77865;1.91163;1091.87524414;0.0630070120096;390.549530029;E;09a02Ea.wav
6.98207;8.81995;11.5411;8.4547;19.4592;13.7313;5.05435;2.26316;4.48489;3.60409;6.71858;3.82061;0.439366;1.71539;3.13517;10.204;16.1243;11.1403;0.856149;-7.42573;-10.9926;-15.1014;-21.1372;-18.3124;-11.6574;-5.09315;3.96603;3.69338;-5.09116;-6.13553;-16.0138;-14.1772;-13.8048;-12.7325;-14.7982;-6.61875;-8.16937;0.0600149;0.68646;12.7085;11.2582;2.85;2.2764;-4.61368;-18.6369;-17.7941;-20.3462;-11.4859;-12.6056;-9.28733;-3.92514;0.849046;3.1141;1.51937;2.03721;8.25223;7.64518;-4.20712;-5.03246;-5.83884;-19.2631;-16.7066;-29.4449;-26.2313;-20.4942;-23.0609;-20.9089;-29.7;-24.0566;-11.4195;353.103210449;0.0762431696057;348.30770874;W;16b10Wa.wav
7.92866;10.9179;13.8501;12.9501;11.6496;10.5776;10.3754;2.37266;-10.11;-9.59475;-9.31694;-12.8681;-10.6492;-12.5732;-14.5977;-14.3397;-11.1232;-13.8253;-13.0916;-14.8205;-14.8757;-8.46472;2.71515;3.61574;2.78815;3.24639;-0.0178518;3.58526;-1.28752;1.8558;0.718161;0.40495;-2.06056;-6.81421;2.98785;9.17359;13.977;13.6861;8.48504;10.2622;8.00885;7.21181;2.36931;-3.43957;-3.41039;-6.71152;-13.8892;-11.1074;-13.4384;-15.3911;-16.495;-13.803;-11.5568;-3.02044;0.425662;4.7403;4.64009;0.249033;2.55539;0.359157;-3.60396;-9.69376;-9.23996;-15.5214;-15.3331;-12.481;-12.9349;-25.4594;-9.37153;-1.51503;1132.19311523;0.0626361221075;250.412063599;W;11a02Wc.wav
20.0487;18.8052;15.5977;9.25863;15.1103;13.2901;10.3869;12.8882;8.52968;-4.67159;-6.41224;-4.82046;-10.4371;-11.3224;-5.97974;2.5062;8.36139;13.8409;11.2441;3.99921;4.40097;6.09659;6.5682;5.1918;0.758778;-5.43557;-11.1581;-3.55237;-5.64348;1.25961;7.83239;6.05225;2.70369;4.35847;4.61939;7.8646;9.79995;8.29758;8.81117;6.06707;1.31717;3.12444;1.15919;3.04899;1.92671;-0.579114;-0.503931;-0.451776;-2.83318;4.52185;-0.181008;-3.03752;-7.15696;-9.05926;-12.8041;-3.19246;1.27354;11.901;7.8981;8.18275;0.137627;7.26222;6.19936;5.66133;8.7988;5.15167;2.54695;-1.23843;-3.46868;-5.56982;3451.84936523;0.058924343437;421.496765137;F;13b01Fc.wav
